state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date,number_of_hospitals_fewer,number_of_hospitals_average,number_of_hospitals_more,number_of_hospitals_too_small
AK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,0,2,2,11
AK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,2,6,3,9
AK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,4,7,3,7
AK,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,17,1,3,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,7,0,6,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,10,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_CABG,Rate of readmission for CABG,0,2,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,10,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,10,0,9,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,7,0,3,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,14,0,7,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,6,9,11,44
AL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,12,22,24,27
AL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,8,37,26,14
AL,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),1,80,0,6,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,65,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,43,1,22,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,31,0,39,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
